vgs,vds,ids,w
1,1,-0.000000013751,0.0000002
1.5,1,-0.000000055001,0.0000002
2,1,-0.000000110001,0.0000002
2.5,1,-0.000000165001,0.0000002
3,1,-0.000000220001,0.0000002
1,1.5,-0.0000000143765,0.0000002
1.5,1.5,-0.0000000575015,0.0000002
2,1.5,-0.000000129377,0.0000002
2.5,1.5,-0.000000215627,0.0000002
3,1.5,-0.000000301877,0.0000002
1,2,-0.000000015002,0.0000002
1.5,2,-0.000000060002,0.0000002
2,2,-0.000000135002,0.0000002
2.5,2,-0.000000240002,0.0000002
3,2,-0.000000360002,0.0000002
1,2.5,-0.0000000156275,0.0000002
1.5,2.5,-0.0000000625025,0.0000002
2,2.5,-0.000000140628,0.0000002
2.5,2.5,-0.000000250003,0.0000002
3,2.5,-0.000000390628,0.0000002
1,3,-0.000000016253,0.0000002
1.5,3,-0.000000065003,0.0000002
2,3,-0.000000146253,0.0000002
2.5,3,-0.000000260003,0.0000002
3,3,-0.000000406253,0.0000002
1,1,-0.000000027501,0.0000004
1.5,1,-0.000000110001,0.0000004
2,1,-0.000000220001,0.0000004
2.5,1,-0.000000330001,0.0000004
3,1,-0.000000440001,0.0000004
1,1.5,-0.0000000287515,0.0000004
1.5,1.5,-0.000000115002,0.0000004
2,1.5,-0.000000258752,0.0000004
2.5,1.5,-0.000000431252,0.0000004
3,1.5,-0.000000603752,0.0000004
1,2,-0.000000030002,0.0000004
1.5,2,-0.000000120002,0.0000004
2,2,-0.000000270002,0.0000004
2.5,2,-0.000000480002,0.0000004
3,2,-0.000000720002,0.0000004
1,2.5,-0.0000000312525,0.0000004
1.5,2.5,-0.000000125003,0.0000004
2,2.5,-0.000000281253,0.0000004
2.5,2.5,-0.000000500003,0.0000004
3,2.5,-0.000000781253,0.0000004
1,3,-0.000000032503,0.0000004
1.5,3,-0.000000130003,0.0000004
2,3,-0.000000292503,0.0000004
2.5,3,-0.000000520003,0.0000004
3,3,-0.000000812503,0.0000004
1,1,-0.000000041251,0.0000006
1.5,1,-0.000000165001,0.0000006
2,1,-0.000000330001,0.0000006
2.5,1,-0.000000495001,0.0000006
3,1,-0.000000660001,0.0000006
1,1.5,-0.0000000431265,0.0000006
1.5,1.5,-0.000000172502,0.0000006
2,1.5,-0.000000388127,0.0000006
2.5,1.5,-0.000000646877,0.0000006
3,1.5,-0.000000905627,0.0000006
1,2,-0.000000045002,0.0000006
1.5,2,-0.000000180002,0.0000006
2,2,-0.000000405002,0.0000006
2.5,2,-0.000000720002,0.0000006
3,2,-0.00000108,0.0000006
1,2.5,-0.0000000468775,0.0000006
1.5,2.5,-0.000000187503,0.0000006
2,2.5,-0.000000421878,0.0000006
2.5,2.5,-0.000000750003,0.0000006
3,2.5,-0.00000117188,0.0000006
1,3,-0.000000048753,0.0000006
1.5,3,-0.000000195003,0.0000006
2,3,-0.000000438753,0.0000006
2.5,3,-0.000000780003,0.0000006
3,3,-0.00000121875,0.0000006
1,1,-0.000000055001,0.0000008
1.5,1,-0.000000220001,0.0000008
2,1,-0.000000440001,0.0000008
2.5,1,-0.000000660001,0.0000008
3,1,-0.000000880001,0.0000008
1,1.5,-0.0000000575015,0.0000008
1.5,1.5,-0.000000230002,0.0000008
2,1.5,-0.000000517502,0.0000008
2.5,1.5,-0.000000862502,0.0000008
3,1.5,-0.0000012075,0.0000008
1,2,-0.000000060002,0.0000008
1.5,2,-0.000000240002,0.0000008
2,2,-0.000000540002,0.0000008
2.5,2,-0.000000960002,0.0000008
3,2,-0.00000144,0.0000008
1,2.5,-0.0000000625025,0.0000008
1.5,2.5,-0.000000250003,0.0000008
2,2.5,-0.000000562503,0.0000008
2.5,2.5,-0.000001,0.0000008
3,2.5,-0.0000015625,0.0000008
1,3,-0.000000065003,0.0000008
1.5,3,-0.000000260003,0.0000008
2,3,-0.000000585003,0.0000008
2.5,3,-0.00000104,0.0000008
3,3,-0.000001625,0.0000008
1,1,-0.000000068751,0.000001
1.5,1,-0.000000275001,0.000001
2,1,-0.000000550001,0.000001
2.5,1,-0.000000825001,0.000001
3,1,-0.0000011,0.000001
1,1.5,-0.0000000718765,0.000001
1.5,1.5,-0.000000287502,0.000001
2,1.5,-0.000000646877,0.000001
2.5,1.5,-0.00000107813,0.000001
3,1.5,-0.00000150938,0.000001
1,2,-0.000000075002,0.000001
1.5,2,-0.000000300002,0.000001
2,2,-0.000000675002,0.000001
2.5,2,-0.0000012,0.000001
3,2,-0.0000018,0.000001
1,2.5,-0.0000000781275,0.000001
1.5,2.5,-0.000000312503,0.000001
2,2.5,-0.000000703128,0.000001
2.5,2.5,-0.00000125,0.000001
3,2.5,-0.00000195313,0.000001
1,3,-0.000000081253,0.000001
1.5,3,-0.000000325003,0.000001
2,3,-0.000000731253,0.000001
2.5,3,-0.0000013,0.000001
3,3,-0.00000203125,0.000001
1,1,-0.000000082501,0.0000012
1.5,1,-0.000000330001,0.0000012
2,1,-0.000000660001,0.0000012
2.5,1,-0.000000990001,0.0000012
3,1,-0.00000132,0.0000012
1,1.5,-0.0000000862515,0.0000012
1.5,1.5,-0.000000345002,0.0000012
2,1.5,-0.000000776252,0.0000012
2.5,1.5,-0.00000129375,0.0000012
3,1.5,-0.00000181125,0.0000012
1,2,-0.000000090002,0.0000012
1.5,2,-0.000000360002,0.0000012
2,2,-0.000000810002,0.0000012
2.5,2,-0.00000144,0.0000012
3,2,-0.00000216,0.0000012
1,2.5,-0.0000000937525,0.0000012
1.5,2.5,-0.000000375003,0.0000012
2,2.5,-0.000000843753,0.0000012
2.5,2.5,-0.0000015,0.0000012
3,2.5,-0.00000234375,0.0000012
1,3,-0.000000097503,0.0000012
1.5,3,-0.000000390003,0.0000012
2,3,-0.000000877503,0.0000012
2.5,3,-0.00000156,0.0000012
3,3,-0.0000024375,0.0000012
1,1,-0.000000096251,0.0000014
1.5,1,-0.000000385001,0.0000014
2,1,-0.000000770001,0.0000014
2.5,1,-0.000001155,0.0000014
3,1,-0.00000154,0.0000014
1,1.5,-0.000000100627,0.0000014
1.5,1.5,-0.000000402502,0.0000014
2,1.5,-0.000000905627,0.0000014
2.5,1.5,-0.00000150938,0.0000014
3,1.5,-0.00000211313,0.0000014
1,2,-0.000000105002,0.0000014
1.5,2,-0.000000420002,0.0000014
2,2,-0.000000945002,0.0000014
2.5,2,-0.00000168,0.0000014
3,2,-0.00000252,0.0000014
1,2.5,-0.000000109378,0.0000014
1.5,2.5,-0.000000437503,0.0000014
2,2.5,-0.000000984378,0.0000014
2.5,2.5,-0.00000175,0.0000014
3,2.5,-0.00000273438,0.0000014
1,3,-0.000000113753,0.0000014
1.5,3,-0.000000455003,0.0000014
2,3,-0.00000102375,0.0000014
2.5,3,-0.00000182,0.0000014
3,3,-0.00000284375,0.0000014
1,1,-0.000000110001,0.0000016
1.5,1,-0.000000440001,0.0000016
2,1,-0.000000880001,0.0000016
2.5,1,-0.00000132,0.0000016
3,1,-0.00000176,0.0000016
1,1.5,-0.000000115002,0.0000016
1.5,1.5,-0.000000460002,0.0000016
2,1.5,-0.000001035,0.0000016
2.5,1.5,-0.000001725,0.0000016
3,1.5,-0.000002415,0.0000016
1,2,-0.000000120002,0.0000016
1.5,2,-0.000000480002,0.0000016
2,2,-0.00000108,0.0000016
2.5,2,-0.00000192,0.0000016
3,2,-0.00000288,0.0000016
1,2.5,-0.000000125003,0.0000016
1.5,2.5,-0.000000500003,0.0000016
2,2.5,-0.000001125,0.0000016
2.5,2.5,-0.000002,0.0000016
3,2.5,-0.000003125,0.0000016
1,3,-0.000000130003,0.0000016
